term,phrase,tag1,tag2,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4
戦争,実は、 戦争 が 終わった こと は、…,名詞,,en,war,,,,,,
いた,…と 共に 生活 して いた のです。,いる,動詞,,,,,,,,
共に,…地下 で ラジオ と 共に 生活 して いた のです。,副詞,,en,ともに together; cooperatively,,,,,,
ラジオ,…の あいだ、 地下 で ラジオ と 共に 生活 して…,名詞,,en,"n.  radio,",,,,,,
地下,…から 30 年 の あいだ、 地下 で ラジオ と 共に…,名詞,,en,underground,,,,,,
あいだ,…終結 から 30 年 の あいだ、 地下 で ラジオ と…,名詞,,en,"(Kanji=間) space, interval; time;",,,,,,
ました,…素晴らしい 本 を 書き ました が、 あまり 売れ ませ…,動詞,ます,en,mashita - positive polite word past tense,,,,,,
発見,…太平洋 の 島 で 発見 さ れ ました。,名詞,,en,"discovery, finding; revelation",,,,,,
島,…少尉 が 太平洋 の 島 で 発見 さ れ…,名詞,,en,Island,,,,,,
太平洋,…年、 小野田 少尉 が 太平洋 の 島 で 発見…,名詞,,en,(Hira=たいへいよう) Pacific Ocean,,,,,,
中学生,中学生 の こと の 思い出,名詞,,en,中学生 n. (Hira=ちゅうがくせい) middle school,,,,,,
値,…巧みな 技術 と 経験 値 が 必要 そうです。,名詞,,en,"size, dimension, magnitude; price, cost, value",,,,,,
経験,…は、 巧みな 技術 と 経験 値 が 必要 そうです。,名詞,,en,experience,,,,,,
技術,…せる の は、 巧みな 技術 と 経験 値 が…,名詞,,en,Technology,,,,,,
せる,…ぬいぐるみ」 を 自立 さ せる の は、 巧みな 技術…,動詞,,en,(after verb Causative) to make or let someone do somthing,,,,,,
さ,…の ぬいぐるみ」 を 自立 さ せる の は、 巧みな…,接尾辞,,en,"さ		1: -ness (nominalizing suffix indicating degree or condition); (Particle) 2: (sentence end, mainly masc.) indicates assertion; (Interjection)",,,,,,
巧みな,…さ せる の は、 巧みな 技術 と 経験 値…,形容詞,巧みだ,en,"(Hira=たくみ) aptitude; skill; cleverness, intelligence",,,,,,
素人,素人 から 見て も、3 つ…,名詞,,en,amateur; layman; ordinary person; novice​,,,,,,
犯行,…こと（ やはり、 プロ の 犯行 か！,名詞,,en,"(Hira=はんこう) crime, criminal act, illegal act; sin; trespass; embezzlement",,,,,,
プロ,…と の こと（ やはり、 プロ の 犯行 か！,名詞,,en,Professional,,,,,,
やはり,…いる と の こと（ やはり、 プロ の 犯行 か！,副詞,,en,"adv. also, in addition; still; of course; nevertheless",,,,,,
いる,…の ぬいぐるみ を つくって いる と の こと（ やはり、…,動詞,,en,"be, exist, live, have (animate)",,,,,,
つくって,…生き物 の ぬいぐるみ を つくって いる と の こと（…,動詞,つくる,en,つくる: to make,,,,,,
普段,普段 から パタンナー と して…,名詞,,en,usually,,,,,,
パタンナー,…の 制作 者 は パタンナー・ REAPLUSH さん。,名詞,,en,Patterner,,,,,,
者,…の ぬいぐるみ」 の 制作 者 は パタンナー・ REAPLUSH さん。,名詞,,en,"n.  (Hira=もの) person, human being",,,,,,
制作,…ケルベロス の ぬいぐるみ」 の 制作 者 は パタンナー・ REAPLUSH…,名詞,,en,"Work, create, produce",,,,,,
ほど,…傑作 ため息 が 出る ほど カワイイ「 ケルベロス の ぬいぐるみ」…,名詞,,en,about; approximately; some; a degree; a limit; bounds,,,,,,
傑作,…の 挑戦 から 生まれた 傑作 ため息 が 出る ほど…,名詞,,en,masterpiece,,,,,,
生まれた,パタンナー の 挑戦 から 生まれた 傑作 ため息 が 出る…,動詞,生まれる,en,v.  (Hira=うまれる) be born,,,,,,
挑戦,パタンナー の 挑戦 から 生まれた 傑作 ため息…,名詞,,en,"challenge, defiance, dare; try",,,,,,
愛でたい,…より、 何より も カワイイ（ 愛でたい）。,,,en,auspicious,,,,,,
何より,と いう より、 何より も カワイイ（ 愛でたい）。,副詞,,en,More than anything,,,,,,
より,と いう より、 何より も カワイイ（ 愛でたい）。,副詞,,en,"v. depend, rely on, be dependent upon; than",,,,,,
誇って,…高い 完成 度 を 誇って います。,動詞,誇る,en,to boast of; to be proud of,,,,,,
度,…も 可能な 高い 完成 度 を 誇って います。,名詞,,en,"たび；ど time, occasion, number of times identifier; degree",,,,,,
完成,…自立 も 可能な 高い 完成 度 を 誇って います。,名詞,,en,complete,,,,,,
可能な,…足 で 自立 も 可能な 高い 完成 度 を…,形容詞,可能だ,en,"adj. (Hira=かのうな) possible, feasible, could be; practicable, practical",,,,,,
自立,…ちゃん と 4 足 で 自立 も 可能な 高い 完成…,名詞,,en,"independence, self-reliance",,,,,,
足,…です ね〜 ちゃん と 4 足 で 自立 も 可能な…,名詞,,en,"あし -foot, leg",,,,,,
ちゃん,…属性っぽくて いい です ね〜 ちゃん と 4 足 で 自立…,名詞,,en,"chan, suffix meaning lad, kid",,,,,,
闇,…に 赤 眼 が 闇 属性っぽくて いい です ね〜…,名詞,,en,darkness; the dark,,,,,,
黒地,黒地 に 赤 眼 が…,名詞,,en,"【くろじ】 	(n) black ground; black cloth; ED; Name(s):  【くろち】 (s) Kurochi 【くろじ】 (p,s) Kuroji  SrcHNA",,,,,,
ぬいぐるみ,それ が「 ケルベロス の ぬいぐるみ」 です。,名詞,,en,"stuffed doll, stuffed toy",,,,,,
化,…が、 ハンドメイド で 人形 化。,接尾辞,,en,action of making something; -ification,,,,,,
人形,…ケルベロス が、 ハンドメイド で 人形 化。,名詞,,en,doll,,,,,,
ハンドメイド,そんな ケルベロス が、 ハンドメイド で 人形 化。,名詞,,en,Hand made,,,,,,
生き物,…描かれて いて、 馴染み ある 生き物 です。,名詞,,en,"living thing, animal",,,,,,
描かれて,…かつ 恐ろしい 姿 で 描かれて いて、 馴染み ある 生き物…,,,en,Drawn,,,,,,
姿,…でも 獰猛 かつ 恐ろしい 姿 で 描かれて いて、 馴染み…,名詞,,en,"(Hira=すがた) shape, figure, human shape, appearance",,,,,,
恐ろしい,…ファンタジー でも 獰猛 かつ 恐ろしい 姿 で 描かれて いて、…,形容詞,,en,"terrible, dreadful, horrible",,,,,,
かつ,…の ファンタジー でも 獰猛 かつ 恐ろしい 姿 で 描かれて…,接続詞,,en,"yet, but, and, together with",,,,,,
獰猛,…など の ファンタジー でも 獰猛 かつ 恐ろしい 姿 で…,形容詞,獰猛だ,en,どうもう ferocious; fierce; truculent; savage​,,,,,,
ファンタジー,…や 漫画 など の ファンタジー でも 獰猛 かつ 恐ろしい…,名詞,,en,fantasy​,,,,,,
など,…の ゲーム や 漫画 など の ファンタジー でも 獰猛…,助詞,,en,"(Alt=とう, Kanji=等) et cetera, and others, and so forth, and so on",,,,,,
ゲーム,…が 有名で、 多く の ゲーム や 漫画 など の…,名詞,,en,"n.  game, fun activity;",,,,,,
有名で,…つ の 首 が 有名で、 多く の ゲーム や…,形容詞,有名だ,en,有名 【ゆうめい】 (adj-na) (1) famous; (n) (2) fame;,,,,,,
首,…つ の 首 が 有名で、 多く の…,名詞,,en,くび	1: neck;,,,,,,
ケルベロス,…する、 冥府 の 番犬「 ケルベロス」。,名詞,,en,Kerberos,,,,,,
番犬,…登場 する、 冥府 の 番犬「 ケルベロス」。,名詞,,en,watchdog​,,,,,,
登場,ギリシャ 神話 に 登場 する、 冥府 の 番犬「…,名詞,,en,"entrance, appearance",,,,,,
神話,ギリシャ 神話 に 登場 する、 冥府…,名詞,,en,mythology,,,,,,
ギリシャ,ギリシャ 神話 に 登場 する、…,名詞,,en,n. Greece,,,,,,
冥府,…神話 に 登場 する、 冥府 の 番犬「 ケルベロス」。,名詞,,en,（めいふ） hades; realm of the dead; sheol,,,,,,
ワイン,ねえ ねえ、 ワイン も 飲もう か。,名詞,,en,ワイン	wine,,,,,,
ケーキ,彼 は ケーキ が 好きです が、 私…,名詞,,en,cake,,,,,,
やって,…彼女 は 水泳 を やって みます。,動詞,やる,en,to do; to undertake; to perform; to play (a game); to study,,,,,,
じゃあ,だから、 答え は、「 はい、 じゃあ 頂き ます」 か「 いいえ、…,感動詞,,en,"interj.  well, well then, so; alright; O.K.",,,,,,
します,…に いる こと に します。,,,en,"""does"" ; polite present of する",,,,,,
います,…で 料理 を して います。,,,en,"be, exist; live, be alive; have, possess; remain, stay; keep, hold onto",,,,,,
バス,今、 バス は 終了 し、 一度に…,名詞,,en,bus　ばす,,,,,,
ます,…は 男の子 だけ い ます が、 私 たち は…,動詞,,en,polite form,,,,,,
いく,…いる だいがく の が いく せい で、,形容詞,いい,en,"iku; to go, goes, will go (informal)",,,,,,
あ,あ、 でも この 料理 は…,ある,動詞,en,Oh,,,,,,
見えて,…に 黒い 影 が 見えて、 なんだ ろ ー って…,見える,動詞,en,見える   1. to be seen; to be in sight​,,,,,,
黒い,…窓 の 外 に 黒い 影 が 見えて、 なんだ…,形容詞,,en,くろい - black,,,,,,
代わり,彼女 の 息子 は 代わり に オレンジジュース に しました。,動詞,代わる,en,"substitute, deputy, alternate; relief, compensation; second helping",,,,,,
作りました,…為 に 紅茶 を 作りました。,,,en,made,,,,,,
為,…へ と 伸びて いる 為、 会社 が 海外 へ…,名詞,,en,"ため -  as a result, due to that, therefore, accordingly",,,,,,
沸かしました,…ポット の 水 を 沸かしました。,,,en,Boiled,,,,,,
しよう,…は 卵 料理 に しよう と 決めました。,動詞,する,en,v. (Kanji=為る) do; try; play; practice; cost; elapse; reach to,,,,,,
決めました,…料理 に しよう と 決めました。,,,en,I decided,,,,,,
ミルク,…は 卵、 パン と ミルク を 見ました。,名詞,,en,milk,,,,,,
卵,サラ は 卵、 パン と ミルク を…,名詞,,en,egg,,,,,,
でした,…を 持って い ません でした が、 旅行 を する…,だ,判定詞,en,was,,,,,,
入って,しかし あまり 食べもの は 入って いません でした。,入る,動詞,en,"(Hira=はいる) get in, enter, go into; come in;",,,,,,
食べもの,しかし あまり 食べもの は 入って いません でした。,名詞,,en,"n. (Hira=たべもの) food, diet, provisions, sustenance, food and drink",,,,,,
庫,サラ は 冷蔵 庫 の 中 を 見ました。,名詞,,en,"n.  (Alt=蔵, Hira=くら) warehouse, storehouse;",,,,,,
冷蔵,サラ は 冷蔵 庫 の 中 を…,名詞,,en,Refrigeration,,,,,,
待って,…夫 も 朝食 を 待って いました。,動詞,待つ,en,"v.  (Alt=俟つ, Hira=まつ) await, wait, remain in one place until a certain event; expect, hope, anticipate",,,,,,
夫,彼女 の 息子 と 夫 も 朝食 を 待って…,名詞,,en,おっと husband,,,,,,
息子,彼女 の 息子 と 夫 も 朝食…,名詞,,en,son,,,,,,
作ろう,…は 毎朝 朝食 を 作ろう と して いました。,動詞,作る,en,"作る v. (Alt=造る, Hira=つくる) make, create, manufacture, fabricate; prepare; draw up, write; compose; build; coin; cultivate; organize, establish; make up, model",,,,,,
普通,…に なる に は、 普通 １０ 年 の 修行 が…,副詞,,en,"(Hira=ふつう) generally, ordinarily, usually",,,,,,
なる,すし 職人 に なる に は、 普通 １０ 年…,動詞,,en,成る 1. to become; to get; to grow; to be; to reach; to attain. Usually written using kana alone. 2. to result in; to prove to be. 3. to consist of; to be composed of.,,,,,,
職人,すし 職人 に なる に は、…,名詞,,en,"worker, skilled workman",,,,,,
たい,…お 金 を 稼ぎ たい です が、 一生懸命 は…,名詞,,en,want,,,,,,
が,まだ 仕事 が 終わりません。,接続詞,,,,,,,,,
ハ,あちら 訛り「 アナタ ハ、 アタシ ト、 キョウ、 タノシミ…,名詞,,en,Ha,,,,,,
伸びて,…外国 市場 へ と 伸びて いる 為、 会社 が…,動詞,伸びる,en,Extends,,,,,,
市場,…の 需要 が 外国 市場 へ と 伸びて いる…,名詞,,en,market; marketplace,,,,,,
需要,…の 製品 へ の 需要 が 外国 市場 へ…,名詞,,en,demand,,,,,,
製品,彼女 は 会社 の 製品 へ の 需要 が…,名詞,,en,manufactured goods,,,,,,
マーケティングマネージャー,…は 製造 会社 の マーケティングマネージャー です。,名詞,,en,Marketing manager,,,,,,
製造,A) マーガレット は 製造 会社 の マーケティングマネージャー です。,名詞,,en,"manufacture, production",,,,,,
であろう,…いる の を 知る であろう。,助動詞,だろう,en,An even more polite form than  でしょう,,,,,,
知る,…して いる の を 知る であろう。,動詞,,en,know,,,,,,
通用,…の 表現 が、 大真面目に 通用 して いる の を…,名詞,,en,popular use; to pass as,,,,,,
大真面目に,…種類 の 表現 が、 大真面目に 通用 して いる の…,形容詞,大真面目だ,en,"大真面目 【おおまじめ】 (adj-na,n) deadly serious",,,,,,
表現,こんな 種類 の 表現 が、 大真面目に 通用 して…,名詞,,en,expression; representation,,,,,,
種類,こんな 種類 の 表現 が、 大真面目に…,名詞,,en,type,,,,,,
こんな,こんな 種類 の 表現 が、…,指示詞,,en,"adj.  such, like",,,,,,
たてて,…に、 聞 耳 を たてて 見 給え。,動詞,たてる,en,立てて たてて (adv) especially; particularly; wholeheartedly,,,,,,
聞,…アヴェック の 会話 に、 聞 耳 を たてて 見…,聞く,動詞,en,聞く (きく) (1) to hear; (2) (usu. 聴く) to listen (e.g. to music); (3) (formal 聴く) to ask; to enquire; to query;,,,,,,
若い,人前 を はばから ぬ 若い アヴェック の 会話 に、…,形容詞,,en,"young, fresh",,,,,,
はばから,人前 を はばから ぬ 若い アヴェック の…,,,en,憚る	はばかる	1: to hesitate; to have scruples; to be afraid of what others may think; 2: to lord it over; to have great influence,,,,,,
人前,人前 を はばから ぬ 若い…,名詞,,en,the public; company,,,,,,
外国,これ は 外国 人 の 日本 語…,名詞,,en,がいこく foreign country,,,,,,
タノシミ,…ハ、 アタシ ト、 キョウ、 タノシミ マス カ」「 カノジョ ハ、…,名詞,,en,Fun,,,,,,
ト,…訛り「 アナタ ハ、 アタシ ト、 キョウ、 タノシミ マス カ」「…,名詞,,en,to,,,,,,
アタシ,あちら 訛り「 アナタ ハ、 アタシ ト、 キョウ、 タノシミ マス…,名詞,,en,"私 あたし Pronoun, No-adjective
1. I; meFemale term or language",,,,,,
訛り,あちら 訛り「 アナタ ハ、 アタシ ト、…,動詞,訛る,en,"accent, emphasis placed on a certain syllable in a word",,,,,,
あちら,あちら 訛り「 アナタ ハ、 アタシ…,指示詞,,en,4. there (place distant from both speaker and listener); over there; foreign country (esp. a Western nation),,,,,,
あの,あの カップル は 男の子 だけ…,指示詞,,en,"That, definite article/ well, umm",,,,,,
作る,…自分 で 曲 も 作る。,動詞,,en,（Hira=つくる) make; cook,,,,,,
曲,…で なく、 自分 で 曲 も 作る。,名詞,,en,tune; melody,,,,,,
歌,あの 歌手 は 歌 が 上手 な だけ…,名詞,,en,song,,,,,,
歌手,あの 歌手 は 歌 が 上手…,名詞,,en,(Hira=かしゅ) singer,,,,,,
文章,…きれいな だけ で なく 文章 も 上手 だ。,名詞,,en,sentence,,,,,,
きれいな,…さん は 字 が きれいな だけ で なく 文章…,形容詞,きれいだ,en,"きれいな adj. (Kanji=奇麗な) clean, tidy, pretty, nice, pleasant",,,,,,
字,鈴木 さん は 字 が きれいな だけ で…,名詞,,en,"character; handwriting; penmanship; the ... word (i.e. ""the L word"" = ""love"")",,,,,,
みよう,…よって、 パパ に 頼んで みよう か」「 だめだ よ。,動詞,みる,en,"let us, to allow (with -te form)",,,,,,
頼んで,…行こう よって、 パパ に 頼んで みよう か」「 だめだ よ。,頼む,動詞,en,"ask, beg, request",,,,,,
今度,今度、 パパ が お 休み…,名詞,,en,"this time, now; next time; another time",,,,,,
行こう,遊園地、 行こう」「 そう ね。,動詞,行く,en,いこう let's go,,,,,,
遊園地,「 ねぇ、 ママ、 遊園地、 行き たい。,名詞,,en,amusement park ゆうえんち,,,,,,
スタッフ,つまり シティ 空港 の スタッフ、 Flybe の スタッフ、 たくさんの…,名詞,,en,staff,,,,,,
今日,…に 就職 が 決まり 今日 から 新 生活 が…,名詞,,en,"n.  (Hira=きょう) today, current day",,,,,,
旦那,私 の 旦那 は チョコ チップ が…,名詞,,en,"husband, man of the house",,,,,,
けれども,…を 買って きた んです けれども、 チョコレート の ハーゲンダッツ でした。,接続詞,,en,"however, but, yet",,,,,,
きた,…の アイスクリーム を 買って きた んです けれども、 チョコレート の…,動詞,くる,en,Came,,,,,,
買って,ハーゲンダッツ の アイスクリーム を 買って きた んです けれども、 チョコレート…,動詞,買う,en,"v.  (Hira=かう) buy, purchase; get; appreciate; volunteer",,,,,,
思っちゃった,…アイスクリーム が 食べたい と 思っちゃった んです ね。,,,en,I thought,,,,,,
まあまあ,私 は まあまあ です ね、 でも 時々…,副詞,,en,"yes, so-so.",,,,,,
着信,着信 音）（ 太一） あ…,名詞,,en,Incoming,,,,,,
水筒,…太一） 寝袋 チェック 水筒 チェック,名詞,,en,すいとうwater bottle,,,,,,
寝袋,…太一） 寝袋 チェック 水筒 チェック,名詞,,en,sleeping bag,,,,,,
太一,太一） 寝袋 チェック 水筒 チェック,名詞,,en,たいち Taichi,,,,,,
さらなる,今 さらなる 未知の 領域 へ 繋がろう…,形容詞,さらだ,en,even more; still more,,,,,,
進化,…加速 を 続ける その 進化 は—,名詞,,en,evolution,,,,,,
加速,…未来 を 拓 き 加速 を 続ける その 進化…,名詞,,en,acceleration,,,,,,
ダイヤル,ダイヤル 音）,名詞,,en,Dial,,,,,,
ナレーション,ナレーション） ネットワーク,名詞,,en,Narration,,,,,,
未知の,…デジモン と 呼ば れる 未知の 生命 体 が 息づいて…,形容詞,未知だ,en,not yet known; unknown; strange,,,,,,
れる,…は デジモン と 呼ば れる 未知の 生命 体 が…,接尾辞,,en,aux. positive auxiliary word used to express the passive form in the present tense,,,,,,
呼ば,…に は デジモン と 呼ば れる 未知の 生命 体…,動詞,呼ぶ,en,Called,,,,,,
世界,人間 の 世界 を 繋ぐ ネットワーク,名詞,,en,"Hira=せかい) world, society, universe",,,,,,
人間,人間 の 世界 を 繋ぐ…,名詞,,en,"human being, man, person, human",,,,,,
繋ぐ,人間 の 世界 を 繋ぐ ネットワーク,動詞,,en,to connect; to tie,,,,,,
ネットワーク,…の 世界 を 繋ぐ ネットワーク,名詞,,en,Network,,,,,,
すばらしい,彼女 は、 すばらしい ダンサー で は あり…,形容詞,,en,"adj. (Kanji=素晴らしい) wonderful, splendid, magnificent, amazing",,,,,,
手に入ります,…は いいません が、 だいたい 手に入ります。,,,en,"v.  (Hira=てにはいる) obtain, come into possession of, acquire, come by, earn",,,,,,
だいたい,…と は いいません が、 だいたい 手に入ります。,副詞,,en,adv. (Kanji=大体) generally,,,,,,
もの,家 で は、 ほしい もの が いつも と は…,名詞,,en,"物 thing; object; article; stuff; substance, one's things; possessions; property; belongings",,,,,,
あまり,…を 書き ました が、 あまり 売れ ませ ん でした。,副詞,,en,not very; not much; too much; excessively,,,,,,
仕事,まだ 仕事 が 終わりません。,名詞,,en,"しごと  work, occupation, labor, task",,,,,,
に,…朝、 市役所 と 銀行 に 行って から、 会社 に…,助詞,,en,"at, in, (can indicate direction, time or the indirect object of a sentence)",,,,,,
を,銀行 で 口座 を 開きます,助詞,,en,"case particle, indicates the case role of the phrase in relation to another word (used especially as a direct object marker) ...hah?",,,,,,
持って,彼 は 自信 を 持って いる ように 聞こえ ます…,持つ,動詞,en,"v.  (Hira=もつ) hold, possess, carry",,,,,,
させられました,…が、 仕事 を たくさん させられました。,,,en,させる：1 : to make (someone) do.   2 : to allow (someone) to,,,,,,
いいました,…に 疲れて いる と いいました が、 仕事 を たくさん…,,,en,Said,,,,,,
疲れて,私 は 上司 に 疲れて いる と いいました が、…,動詞,疲れる,en,"つかれ) - tiredness, fatigue",,,,,,
上司,私 は 上司 に 疲れて いる と…,名詞,,en,じょうし boss,,,,,,
上手で,…が 好きです が、 あまり 上手で は ありません。,形容詞,上手だ,en,じょうず 	1: skill; skillful; dexterity;,,,,,,
見つけて,…読む 時間 だけ は 見つけて います。,動詞,見つける,en,"見つけるv. (Hira=みつける) find out, discover, gain knowledge; locate, sight",,,,,,
時間,…が、 本 を 読む 時間 だけ は 見つけて います。,名詞,,en,time,,,,,,
読む,…です が、 本 を 読む 時間 だけ は 見つけて…,動詞,,en,よむ= to read,,,,,,
忙しい,私 は 忙しい です が、 本 を…,形容詞,,en,Adjective ~ いそがしい busy; occupied,,,,,,
好きでした,…する の は いつも 好きでした。,形容詞,好きだ,en,I liked,,,,,,
いつも,…を する の は いつも 好きでした。,副詞,,en,"itsumo: adv.  forever, constantly, always",,,,,,
旅行,…い ません でした が、 旅行 を する の は…,名詞,,en,"(Hira=りょこう) travel, journey, tour; traveling",,,,,,
お金,私 は あまり お金 を 持って い ません…,,,en,money,,,,,,
しまえば,PONPON 出して しまえば いい の ぜんぜん し…,動詞,しまう,en,しまう	to finish; to close; to do something completely; to put away; to put an end to,,,,,,
ponpon,PONPON 出して しまえば いい の…,名詞,,en,PONPON,,,,,,
出して,PONPON 出して しまえば いい の ぜんぜん…,動詞,出す,en,"v. (Hira=だす) send; hold out; extend, reach out; expose, issue, publish; display, present; produce; pay, contribute, invest; serve; exert",,,,,,
早い,…泣く の に は 早い よ ね ただ 前…,形容詞,,en,"早い	 はや--い  1:fast; quick;  2: early (in the day, etc.);",,,,,,
いやいや,…進む しか ない わ いやいや,副詞,,en,"No, no",,,,,,
泣く,…つかみたい の なら まだ 泣く の に は 早い…,動詞,,en,"v. (Hira=なく) cry, shout; sing",,,,,,
つかみたい,…か で チャンス が つかみたい の なら まだ 泣く…,,,en,I want to grab,,,,,,
チャンス,…の どこ か で チャンス が つかみたい の なら…,名詞,,en,"n.  chance, opportunity, prospect",,,,,,
見上げたら,…を つないで 空 を 見上げたら もしも あの 街 の…,動詞,見上げる,en,みあげる 1: to look up at; to raise one's eyes; 2: to look up to; to admire; to respect,,,,,,
空,…で 手 を つないで 空 を 見上げたら もしも あの…,名詞,,en,"emptiness, blank; sky",,,,,,
つないで,…真ん中 で 手 を つないで 空 を 見上げたら もしも…,動詞,つなぐ,en,繋ぐ つなぐ	to tie; to fasten; to connect; to transfer (phone call),,,,,,
スキップ,…で みんな が もし スキップ を して もし あの…,名詞,,en,Skip,,,,,,
街,…を して もし あの 街 の 真ん中 で 手…,名詞,,en,"street, road; quarters",,,,,,
みんな,あの 交差 点 で みんな が もし スキップ を…,副詞,,en,everyone,,,,,,
点,あの 交差 点 で みんな が もし…,名詞,,en,"てん) spot, mark, point, dot; number of items identifier; score identifier; particular point identifier",,,,,,
交差,あの 交差 点 で みんな が…,名詞,,en,"交差 n. (Hira=こうさ) cross, crossing",,,,,,
幸せ,そして 今 とても 幸せ です。,形容詞,幸せだ,en,"n. (Hira=しあわせ) happiness, good fortune, joy, gladness",,,,,,
出て,カレン は 家 から 出て ペット ショップ に ペット…,動詞,出る,en,"v.  (Hira=でる) appear, come forth; leave, depart",,,,,,
怖がります,…彼女 は 水 を 怖がります。,,,en,こわがり ます to be afraid of; to fear; to dread,,,,,,
行きます,…ペット を 見 に 行きます。,,,en,iku (to go) Formal Present,,,,,,
ペット,ペット ショップ で 彼女 は…,名詞,,en,"n.  pet,",,,,,,
見つけます,…彼女 は 猫 を 見つけます!,,,en,2. to locate; to find (e.g. something missing); to find fault​  3. to be used to seeing; to be familiar with​,,,,,,
水,しかし 彼女 は 水 を 怖がります。,名詞,,en,"みず= water (cold, fresh)",,,,,,
水泳,次に 彼女 は 水泳 を やって みます。,名詞,,en,"n. (Hira=すいえい) swimming, act of propelling oneself through water using the arms and/or legs",,,,,,
次に,次に 彼女 は 水泳 を…,副詞,,en,"adv. (Hira=つぎに) next, afterwards; secondly, subsequently",,,,,,
おいしく,…彼女 の 料理 は おいしく ありません。,形容詞,おいしい,en,"delicious, - おいしくない = not delicious",,,,,,
みます,"…は 料理 を して みます,",,,en,"look, watch",,,,,,
最初に,最初に 彼女 は 料理 を…,形容詞,最初だ,en,さいしょに - in the first place; first,,,,,,
趣味,彼女 は 新しい 趣味 が ほしい です。,名詞,,en,"hobby, fondness, predilection",,,,,,
毎日,彼女 は 毎日 同じ こと を して…,名詞,,en,"n.  (Hira=まいにち) every day, each day",,,,,,
退屈,…仕事 と 家 で 退屈 して います。,名詞,,en,"(Hira=たいくつ) tedium, boredom, tediousness, monotonousness",,,,,,
どんな,…住んで いました。 たいへん 賢くて どんな 難しい 問題 でも 解…,指示詞,,en,what kind of,,,,,,
賢くて,…が 住んで いました。 たいへん 賢くて どんな 難しい 問題 でも…,形容詞,賢い,en,"かしこい 賢い wise, intelligent, cautious",,,,,,
たいへん,…若者 が 住んで いました。 たいへん 賢くて どんな 難しい 問題…,副詞,,en,"(Kanji=大変) very, extremely, in an emphasized manner",,,,,,
いました,…賢い 若者 が 住んで いました。 たいへん 賢くて どんな 難しい…,,,en,was there,,,,,,
若者,…と いう とても 賢い 若者 が 住んで いました。 たいへん…,名詞,,en,Youth,,,,,,
賢い,…さん と いう とても 賢い 若者 が 住んで いました。…,形容詞,,en,"wise, intelligent; clever; smart; cautious; skilled",,,,,,
ところ,むかし、 むかし、 ある ところ に 彦一 さん と…,名詞,,en,"place; about to, on the point of, have only just",,,,,,
むかし,むかし、 むかし、 ある ところ に 彦一…,名詞,,en,a long time ago,,,,,,
やりがい,とても やりがい が ある から です。,名詞,,en,worthwhile,,,,,,
すき,…じぶん の しごと が すき です。,形容詞,すきだ,en,"adj.  (Kanji=好きな) preferable, favorite, liked, beloved",,,,,,
しごと,わたし は じぶん の しごと が すき です。,名詞,,en,"n.  (Kanji=仕事) work, occupation, labor, task",,,,,,
じぶん,わたし は じぶん の しごと が すき…,名詞,,en,Myself,,,,,,
しりあい,それ が きっかけ で しりあい ました。,動詞,しりあう,en,Acquaintance,,,,,,
きっかけ,それ が きっかけ で しりあい ました。,名詞,,en,"opportunity, chance",,,,,,
つかって,よく と しょかん を つかって い ました。,動詞,つかう,en,"つかう v. (Kanji=使う) use, handle, manipulate; employ; expend, spend; consume",,,,,,
しょかん,よく と しょかん を つかって い ました。,名詞,,en,書巻 book (usu. old); publication; document​,,,,,,
はたらいて,…は いぜん わたし が はたらいて いる だいがく の が…,動詞,はたらく,en,Working,,,,,,
いぜん,おっと は いぜん わたし が はたらいて いる…,副詞,,en,"adv. (Kanji=以前) ago, before, previously",,,,,,
けっこん,…じゅう なな ねん に けっこん し ました。,名詞,,en,marriage,,,,,,
きゅう,…たち は せ ん きゅう ひ ゃく きゅう じゅう…,形容詞,きゅうだ,en,nine,,,,,,
くらして,…だけ、 ふた り で くらして い ます。,動詞,くらす,en,kurasu: to live/get along/exist,,,,,,
ふた,かぞく は おっと だけ、 ふた り で くらして い…,名詞,,en,Top,,,,,,
すんで,…すぎな み く に すんで い ます。,動詞,すむ,en,"v.  (Kanji=棲む,住む) live, reside, inhabit, dwell, reside in",,,,,,
すぎな,とう きょう の すぎな み く に すんで…,名詞,,en,field horsetail (Equisetum arvense); common horsetail,,,,,,
かぞく,かぞく は おっと だけ、 ふた…,名詞,,en,"n.  (Kanji=家族) family, household, people of a house",,,,,,
しないで,…が 堅い から 心配 しないで。,,,en,Do not,,,,,,
心配,…口 が 堅い から 心配 しないで。,名詞,,en,"worry, concern",,,,,,
堅い,私 は 口 が 堅い から 心配 しないで。,形容詞,,en,hard,,,,,,
口,私 は 口 が 堅い から 心配…,名詞,,en,(Hira=くち) mouth,,,,,,
ダメ,…誰 に も 言っちゃ ダメ だ よ！,形容詞,ダメだ,en,useless,,,,,,
言っちゃ,…は 誰 に も 言っちゃ ダメ だ よ！,言う,動詞,en,言う【いう; ゆう】(1) to say; (2) to call (i.e. to give a name);,,,,,,
件,あ、 この 件 は 誰 に も…,名詞,,pl,precedent; matter; case; item,,,,,,
なきゃ,仕事 探さ なきゃ～。,ない,形容詞,en,(Hira=なきゃ)have to; must,,,,,,
探さ,仕事 探さ なきゃ～。,動詞,探す,en,"(さがす) 1: to search (for something lost); to seek (a suspect in a crime); 2: to search (for something desired, needed); to look for",,,,,,
