term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4,meaninglanguage5,meaning5
constatar,…de la Sabana pudieran constatar que los jóvenes de…,Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,"v. confirm,",,,,,,,,
construir,"…vigila las defensas, manda construir fajinas y parapetos, recorre…",Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,to construct,,,,,,,,
contaba,Camelia me contaba… aquí en México decimos:,Verb,yo,indicativo pretérito imperfecto,contar,contarse,verbo,yo,contar,contarse,indicativo pretérito imperfecto,,,,,,,,,,,en,recount; to count,,,,,,,,
contagiar,…donde es más fácil contagiar y contagiarse. Y,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,to infect,,,,,,,,
contagiarse,…más fácil contagiar y contagiarse. Y,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,to get infected,,,,,,,,
contaminación,"…la explotación o la contaminación, la derecha quisiera restringir",Noun,noun,,,,,,,,,,,,,,,,,,,en,pollution,,,,,,,,
contamos,…un zurdo. Hoy te contamos.,Verb,presente,nosotros,contar,contarse,verb,nosotros,presente,contar,contarse,,,,,,,,,,,en,we tell,,,,,,,,
contándote,"…mayores, tengo que seguir contándote la historia de nuestro…",,,,,,,,,,,,,,,,,,,,,en,telling you,,,,,,,,
contar,…yo que tiene que contar algo.,Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,"to count, to tell",,,,,,,,
contáramos,"…gratuitas, y si no contáramos con el apoyo de…",Verb,subjuntivo pretérito imperfecto,nosotros,contar,contarse,verbo,nosotros,contar,contarse,subjuntivo pretérito imperfecto,,,,,,,,,,,en,we counted,,,,,,,,
contarlo,"…es una mierda, pero contarlo es peor.",,,,,,,,,,,,,,,,,,,,,en,"tell,count it",en,"tell it, count it",,,,,,
contarme,"después regresas aquí para contarme sobre tus exploraciones, yo",,,,,,,,,,,,,,,,,,,,,en,tell me,,,,,,,,
contarnos,…De verdad vas a contarnos que en España hay…,,,,,,,,,,,,,,,,,,,,,en,to tell us,,,,,,,,
contarse,…acontecimientos que no pueden contarse en un solo episodio.,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,be told,,,,,,,,
contárselo,…a la poli y contárselo.,,,,,,,,,,,,,,,,,,,,,en,tell them,,,,,,,,
contarte,de eso yo puedo contarte sobre mi planeta,,,,,,,,,,,,,,,,,,,,,en,tell you,,,,,,,,
contemporáneo,"…de un autor español contemporáneo, Eduardo Mendoza.",Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,en,contemporary,,,,,,,,
contendrá,Contendrá partículas de fibra de…,Verb,él/ella/ud.,futuro,contener,contenerse,verb,futuro,él/ella/ud.,contener,contenerse,,,,,,,,,,,en,it will contain,,,,,,,,
contenedor,…del flete de un contenedor,Noun,noun,,,,,,,,,,,,,,,,,,,en,container,,,,,,,,
contenedores,"…no existan físicamente esos contenedores,",Noun,noun,,,,,,,,,,,,,,,,,,,en,containers,,,,,,,,
contenido,…valor como su importante contenido de Carbón Orgánico Total(…,Verb,yo,pretérito perfecto compuesto,contener,contenerse,Noun,sustantivo,verbo,yo,pretérito perfecto compuesto,contener,contenerse,,,,,,,,,en,content,,,,,,,,
contestar,Cuatro días desaparecido sin contestar WhatsApp.,Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,"answer, reply",,,,,,,,
conteste,Conteste,Verb,él/ella/ud.,imperativo,contestar,,,,,,,,,,,,,,,,,en,"contestar - answer, reply",,,,,,,,
contigo,"Estar contigo, vista al mar donde…",Adjective,Adverb,,,,,,,,,,,,,,,,,,,en,with you,,,,,,,,
contra,"…un combate, una lucha contra una dificultad; pero lucha…",Noun,Preposition,preposition,noun,,,,,,,,,,,,,,,,,en,against,,,,,,,,
contrabandistas,"…escondites para los refugiados, contrabandistas y grupos que querían…",Noun,,,,,,,,,,,,,,,,,,,,en,smugglers,,,,,,,,
contraría,…cobardes y traidores: Le contraría fallarse de su primer…,,,,,,,,,,,,,,,,,,,,,en,contrary,,,,,,,,
contrario,"…de vida, todo lo contrario.",Verb,yo,presente,contrariar,Adjective,Noun,sustantivo,adjetivo,verbo,presente,yo,contrariar,,,,,,,,,en,contrary,,,,,,,,
contratado,Yo había contratado psicólogos,Verb,yo,pretérito perfecto compuesto,contratar,verbo,contratar,yo,pretérito perfecto compuesto,,,,,,,,,,,,,en,"hired, contracted",,,,,,,,
contratar,"…con un menor, era contratar a una menor",Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,to hire,,,,,,,,
contratarte,Yo voy a contratarte para explorar el otro,,,,,,,,,,,,,,,,,,,,,en,hire you,,,,,,,,
contundencia,años fue la contundencia con la que respondió…,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,"n. force, power; strength; intensity",,,,,,,,
contuviera,"Como si te contuviera, te susurra para dejarte…",Verb,yo,subjuntivo pretérito imperfecto,contener,contenerse,verb,yo,contener,contenerse,subjuntivo pretérito imperfecto,,,,,,,,,,,en,contained,,,,,,,,
convencerle,…veces hasta llegaba a convencerle de que abandonara por…,,,,,,,,,,,,,,,,,,,,,en,convince him,,,,,,,,
convenciones,…se sabe todas las convenciones del género.,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,conventions,en,"conventions (societal, artistic, etc.)",,,,,,
converger,"…movimientos del niño, haciéndolos converger en una botellita de…",Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,v. converge,,,,,,,,
convertirse,…a un soldado a convertirse en un elefante y…,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,"v.  become, convert; adapt;  turn into",,,,,,,,
conviene,"…platos más“ contundentes”, no conviene que nos olvidemos de…",Verb,él/ella/ud.,presente,convenir,convenirse,verbo,presente,él/ella/ud.,convenir,convenirse,,,,,,,,,,,en,"agree, concur; arrange; suit; answer",,,,,,,,
convierte,…crimen en Chile se convierte en algo mucho más…,Verb,él/ella/ud.,presente,convertir,convertirse,verbo,convertir,convertirse,presente,él/ella/ud.,,,,,,,,,,,en,"[v:convertir] transform, convert; proselytize",,,,,,,,
convirtieron,Se convirtieron en el club de…,Verb,pretérito perfecto simple,ellos/ellas/uds.,convertir,convertirse,verbo,convertir,convertirse,pretérito perfecto simple,ellos/ellas/uds.,,,,,,,,,,,en,"v. transform, convert; proselytize",,,,,,,,
convoca,…resolver el problema se convoca,Verb,él/ella/ud.,presente,convocar,verb,presente,él/ella/ud.,convocar,,,,,,,,,,,,,en,it convenes,,,,,,,,
convoy,…Están atacando un convoy militar!,Noun,noun,,,,,,,,,,,,,,,,,,,en,convoy,,,,,,,,
cooperar,exposición no dudará en cooperar con Acción Creativa.,Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,to cooperate,,,,,,,,
copita,"…de vino de cada copita, pues no quería tomarlo…",,,,,,,,,,,,,,,,,,,,,en,small glass,,,,,,,,
copitos,todo roja y tiene copitos de nieve alrededor,,,,,,,,,,,,,,,,,,,,,en,little flake (snowflake = copo),,,,,,,,
copos,"…de invierno, y los copos de nieve caían del…",Noun,noun,,,,,,,,,,,,,,,,,,,en,flakes,,,,,,,,
coquetee,pero también que no coquetee mucho con los canadienses,Verb,él/ella/ud.,imperativo,coquetear,,,,,,,,,,,,,,,,,en,i/he/she/it flirts (subj),,,,,,,,
corazón,"…señora Mallard padecía del corazón, se tomaron muchas precauciones…",Adjective,Noun,sustantivo,adjetivo,,,,,,,,,,,,,,,,,en,m. n. heart; center; breast; inside,,,,,,,,
corbata,"…Qué guapo estás, con corbata y todo!",Noun,,,,,,,,,,,,,,,,,,,,en,tie,,,,,,,,
corbatas,"...hablaba de golf, dinero, corbatas, política y entonces, así...",Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,neckwear,,,,,,,,
coronel,…Muerte anunciada o el coronel no,Noun,noun,,,,,,,,,,,,,,,,,,,en,colonel,,,,,,,,
corporal,…patas y su estructura corporal se adapta para dar…,Adjective,,,,,,,,,,,,,,,,,,,,en,"adj.  physical, bodily; material, tangible",,,,,,,,
corral,"…pulgas de aves de corral( E. gallinacea), sobre todo…",Noun,,,,,,,,,,,,,,,,,,,,en,"n.  fenced in area (for horses, cattle, etc.); circle of wagons arranged around a camp",,,,,,,,
correo,Suscríbete en elhilo. audio/ correo,Verb,yo,presente,correar,Noun,verbo,presente,yo,correar,,,,,,,,,,,,en,mail,,,,,,,,
corriente,…Torres] La corriente lo habrá arrastrado.,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,en,current,,,,,,,,
corta,"…es la noche más corta del año, es la…",Verb,él/ella/ud.,presente,cortar,cortarse,Adjective,verbo,presente,cortar,él/ella/ud.,cortarse,,,,,,,,,,en,"n.  crop; cutting,  v.  cut; hack; chop; slice; lop; prune (Cortar)",,,,,,,,
corteza,La corteza de su lóbulo frontal…,Noun,noun,,,,,,,,,,,,,,,,,,,en,cortex,,,,,,,,
corticales,un paciente con prótesis corticales la reacción inmediata está,Adjective,Noun,,,,,,,,,,,,,,,,,,,en,cortical,,,,,,,,
cortinas,enseguida he reconocido [4] mis cortinas naranjas en la habitación,Noun,,,,,,,,,,,,,,,,,,,,en,curtain,,,,,,,,
cosa,…SE NOS OCURRIÓ UNA COSA PARA QUE APRENDA.,Verb,él/ella/ud.,imperativo,subjuntivo presente,coser,coserse,Noun,sustantivo,imperativo,verbo,subjuntivo presente,él/ella/ud.,coser,coserse,,,,,,,en,"thing, thingy, thingamajig, object,item, matter,affair, act, action, chore,thought, issue; something",,,,,,,,
cosas,Una de las cosas que los Cristianos modernos…,Verb,tú,subjuntivo presente,coser,coserse,Pronoun,Noun,tú,verbo,subjuntivo presente,coser,coserse,,,,,,,,,en,things,,,,,,,,
cosechó,…checo Kingdom Come: Deliverance cosechó un gran éxito tanto…,Verb,pretérito perfecto simple,él/ella/ud.,cosechar,verbo,pretérito perfecto simple,él/ella/ud.,cosechar,,,,,,,,,,,,,en,harvested,,,,,,,,
cosía,"Y como mientras cosía miraba caer los copos,…",Verb,yo,indicativo pretérito imperfecto,coser,coserse,verb,yo,coser,coserse,indicativo pretérito imperfecto,,,,,,,,,,,en,she was sewing,,,,,,,,
costal,…de cabeza a un costal y así se la…,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,sack bag,,,,,,,,
cotidiana,…la ciudad absurda y cotidiana en el escenario de…,Adjective,adjective,,,,,,,,,,,,,,,,,,,en,everyday,,,,,,,,
coulrofobia,…Va directa a la coulrofobia.-¿ Qué es eso?,,,,,,,,,,,,,,,,,,,,,en,fear of clowns,,,,,,,,
cráneo,B:“ Eres cráneo del montón.”,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,skull,,,,,,,,
creador,metafórica el creador de las tierras,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,en,creator,,,,,,,,
crear,nos propusimos crear un canal donde poder…,Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,,,,,,,,,,
crece,"…porque mientras cada baobab crece, las raíces van penetrando…",Verb,él/ella/ud.,presente,crecer,crecerse,verb,presente,crecer,él/ella/ud.,crecerse,,,,,,,,,,,en,grows,,,,,,,,
crecía,El café crecía en el área de…,Verb,yo,indicativo pretérito imperfecto,crecer,crecerse,verbo,yo,crecer,crecerse,indicativo pretérito imperfecto,,,,,,,,,,,en,grew,,,,,,,,
crecimiento,"…de ellos, y el crecimiento vertiginoso de asistentes, sumado…",Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,growth; increase; rise,en,"n. growth, cultivation, rise, development",,,,,,
creciste,"…aprender, si, como yo, creciste pensando en el príncipe…",Verb,pretérito perfecto simple,tú,crecer,crecerse,tú,verbo,crecer,pretérito perfecto simple,crecerse,,,,,,,,,,,en,you grew up,,,,,,,,
creemos,"Así, cuando creemos en la media naranja,…",Verb,presente,imperativo,nosotros,crear,creer,creerse,imperativo,verbo,crear,creer,nosotros,presente,creerse,,,,,,,en,we believe,,,,,,,,
creencia,"esa creencia, y, siendo el único,…",Noun,,,,,,,,,,,,,,,,,,,,en,"belief, faith",,,,,,,,
creencias,"…escarbar detrás de las creencias que tienen, aparecen varios…",Noun,,,,,,,,,,,,,,,,,,,,en,"n. belief, faith, credence; judgement",,,,,,,,
creer,señal de locura creer que la tierra giraba…,Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,"to believe, to think",,,,,,,,
creí,"Todo este tiempo, creí que necesitaba reducir las…",Verb,yo,pretérito perfecto simple,creer,creerse,Noun,verb,noun,creer,yo,pretérito perfecto simple,creerse,,,,,,,,,en,I believed,,,,,,,,
creo,Si yo creo que sin ti no…,Verb,yo,presente,crear,creer,creerse,Adjective,Noun,verbo,crear,creer,presente,yo,creerse,,,,,,,en,I believe (creer),,,,,,,,
creó,"En el principio, Dios creó el cielo y la…",Verb,pretérito perfecto simple,él/ella/ud.,crear,verbo,crear,pretérito perfecto simple,él/ella/ud.,,,,,,,,,,,,,en,created,,,,,,,,
cría,…La cría se resistía a morir.,Verb,él/ella/ud.,presente,criar,criarse,Noun,sustantivo,criar,verbo,presente,él/ella/ud.,criarse,,,,,,,,,en,n. baby; young; junior; litter; brood; breeding,,,,,,,,
criada,"…la puerta por la criada, la cual me anunció…",Noun,noun,,,,,,,,,,,,,,,,,,,en,maid,,,,,,,,
criado,…durante su infancia fue criado por,Verb,yo,pretérito perfecto compuesto,criar,criarse,Adjective,Noun,verb,noun,criar,adjective,yo,pretérito perfecto compuesto,criarse,,,,,,,en,raised,,,,,,,,
crimen,…esta historia de un crimen en Chile se convierte…,Noun,,,,,,,,,,,,,,,,,,,,en,crime,,,,,,,,
criminaliza,…estado norteamericano de Arizona criminaliza a los migrantes indocumentados…,Verb,él/ella/ud.,presente,criminalizar,verbo,presente,él/ella/ud.,criminalizar,,,,,,,,,,,,,en,criminalizes,,,,,,,,
cristales,Los cristales solo se estabilizan a…,Noun,noun,,,,,,,,,,,,,,,,,,,en,"n. crystal; light; glass, pane",,,,,,,,
crónica,…como relato un náufrago Crónica,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,en,Chronicle,,,,,,,,
cruce,…Que es un cruce entre el relato real…-[…,Verb,él/ella/ud.,imperativo,subjuntivo presente,cruzar,cruzarse,Noun,sustantivo,imperativo,verbo,subjuntivo presente,cruzar,él/ella/ud.,cruzarse,,,,,,,en,"crossing, intersection etc.",,,,,,,,
crucen,"…minutos, continúen de frente, crucen el arroyo, giren a…",Verb,ellos/ellas/uds.,imperativo,subjuntivo presente,cruzar,cruzarse,verb,imperativo,subjuntivo presente,cruzar,ellos/ellas/uds.,cruzarse,,,,,,,,,en,cross,,,,,,,,
crujían,"…sitio, y las maderas crujían por la desesperación de…",Verb,indicativo pretérito imperfecto,ellos/ellas/uds.,crujir,verb,crujir,ellos/ellas/uds.,indicativo pretérito imperfecto,,,,,,,,,,,,,en,they creaked,,,,,,,,
cruz,…el latín y la cruz no se había,Noun,noun,,,,,,,,,,,,,,,,,,,en,cross,,,,,,,,
cruzado,Cruzado jadea y se queja],Verb,yo,pretérito perfecto compuesto,cruzar,cruzarse,Adjective,Noun,sustantivo,adjetivo,verbo,yo,pretérito perfecto compuesto,cruzar,cruzarse,,,,,,,en,crossed,,,,,,,,
cruzando,"…y cruzando el estanque( paf, zas,…",Verb,gerundio,cruzar,verb,gerundio,cruzar,,,,,,,,,,,,,,,en,crossing,,,,,,,,
cruzar,Sólo un chivito podía cruzar a la vez.,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,to cross,,,,,,,,
cruzaron,"Ellos cruzaron la carretera( taca-taca,…",Verb,pretérito perfecto simple,ellos/ellas/uds.,cruzar,cruzarse,verb,pretérito perfecto simple,cruzar,ellos/ellas/uds.,cruzarse,,,,,,,,,,,en,crossed,,,,,,,,
cuadernitos,…Siempre estás con los cuadernitos…[ ríe],,,,,,,,,,,,,,,,,,,,,en,notebooks,,,,,,,,
cuadra,…es el que menos cuadra.,Verb,él/ella/ud.,presente,cuadrar,cuadrarse,Noun,sustantivo,verbo,cuadrar,presente,él/ella/ud.,cuadrarse,,,,,,,,,en,n.  stable; hall; block,,,,,,,,
cuadrado,el cuadrado de sator es uno…,Verb,yo,pretérito perfecto compuesto,cuadrar,cuadrarse,Adjective,Noun,verb,noun,adjective,cuadrar,yo,pretérito perfecto compuesto,cuadrarse,,,,,,,en,square,,,,,,,,
cuadrados,…superó los 12.000 kilómetros cuadrados.,Adjective,Noun,sustantivo,adjetivo,,,,,,,,,,,,,,,,,en,square,,,,,,,,
cuadros,…con un pañuelo de cuadros rojos.,Noun,noun,,,,,,,,,,,,,,,,,,,en,pictures,,,,,,,,
cuajo,…I+ D acabar de cuajo con un tercio del…,Verb,yo,presente,cuajar,cuajarse,Noun,sustantivo,verbo,presente,yo,cuajar,cuajarse,,,,,,,,,en,root out,,,,,,,,
cual,"…por la criada, la cual me anunció que dos…",Pronoun,Noun,pronoun,noun,,,,,,,,,,,,,,,,,en,which,,,,,,,,
cuales,…velas o candelas las cuales simbolizan a Jesús como…,Pronoun,Noun,,,,,,,,,,,,,,,,,,,en,Which,,,,,,,,
cualquier,"…pedirle los papeles en cualquier lugar, interrogarlo y mandarlo…",Pronoun,Noun,,,,,,,,,,,,,,,,,,,en,"(before a noun) any, whatever, whichever; everyday, ordinary",,,,,,,,
cualquiera,…podéis dejar pasar a cualquiera!,Pronoun,Adverb,pronoun,adverb,,,,,,,,,,,,,,,,,en,anyone,,,,,,,,
cuartetas,…común de la calaverita: cuartetas octosílabos,,,,,,,,,,,,,,,,,,,,,en,quatrains,,,,,,,,
cuartucho,Te gusta el cuartucho que nos han dejado…,,,,,,,,,,,,,,,,,,,,,en,"n. poky little room, hovel",,,,,,,,
cubiertas,"…invierno, las montañas estaban cubiertas con nieve profunda, y…",Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,en,covered,,,,,,,,
cubiertos,…en sus mejillas están cubiertos por gruesas capas de…,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,covered,,,,,,,,
cubre,"sea, la puerta que cubre el motor y comencé",Verb,él/ella/ud.,presente,cubrir,cubrirse,,,,,,,,,,,,,,,,en,covers,,,,,,,,
cubrimos,…de los temas que cubrimos en nuestros episodios?,Verb,presente,nosotros,cubrir,cubrirse,verbo,nosotros,presente,cubrir,cubrirse,,,,,,,,,,,en,cover,,,,,,,,
cubrir,…significa que todos puedan cubrir sus necesidades,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,to cover,,,,,,,,
cubrirme,…campana de cristal para cubrirme durante la noche?,,,,,,,,,,,,,,,,,,,,,en,cover me,,,,,,,,
cuchillo,El cazador usó su cuchillo para abrir el estómago…,Noun,noun,,,,,,,,,,,,,,,,,,,en,knife,,,,,,,,
cuellos,Y eso ha creado cuellos de botella en los…,Noun,noun,,,,,,,,,,,,,,,,,,,en,bottlenecks,,,,,,,,
cuenca,"…le cae por la cuenca…"".",Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,"hollow, bowl",en,basin,en,hollow; bowl; socket; watershed; basin,,,,
cuentas,…pareció a fin de cuentas haber existido para demostrarme…,Verb,presente,tú,contar,contarse,Noun,tú,verbo,presente,contar,contarse,,,,,,,,,,en,accounts/counts,,,,,,,,
cuerdas,…que nadie tocara las cuerdas.,Noun,noun,,,,,,,,,,,,,,,,,,,en,strings,,,,,,,,
cuernos,El animal tiene cuernos,Noun,,,,,,,,,,,,,,,,,,,,en,"horns, antlers, feelers",,,,,,,,
cuerpo,si yo tuviera cuerpo físico usted,Noun,noun,,,,,,,,,,,,,,,,,,,en,body; corps,,,,,,,,
cuerpos,…han arrojado con los cuerpos difuntos de sus amos…,Noun,noun,,,,,,,,,,,,,,,,,,,en,bodies,en,"n. (anatomy): body; (assembly): group, squad",en,"bodies, corpses",,,,
cuestión,…con el mayordomo una cuestión de aparcerías volvió al…,Noun,,,,,,,,,,,,,,,,,,,,en,question,,,,,,,,
cuestionamiento,"…igualdad, la rebeldía, el cuestionamiento,",Noun,noun,,,,,,,,,,,,,,,,,,,en,questioning,,,,,,,,
cuestionamos,"…vida, y cuando nos cuestionamos eso, las creencias erróneas…",Verb,presente,nosotros,cuestionar,verbo,nosotros,presente,cuestionar,,,,,,,,,,,,,en,(we) question,,,,,,,,
cuestiones,cuestiones normales del día a…,Verb,tú,subjuntivo presente,cuestionar,Noun,verb,noun,tú,subjuntivo presente,cuestionar,,,,,,,,,,,en,issues,,,,,,,,
cueva,…se encontró con una cueva que nunca había visto…,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,cave,,,,,,,,
cuevas,"…viviendas privadas, edificios desiertos, cuevas, cerca de las tumbas…",Noun,,,,,,,,,,,,,,,,,,,,en,"cueva (f) = cave, cavern; pothole; cellar; nest",,,,,,,,
cuidado,Cuidado!,Verb,yo,pretérito perfecto compuesto,cuidar,cuidarse,Adjective,Noun,sustantivo,adjetivo,verbo,cuidar,yo,pretérito perfecto compuesto,cuidarse,,,,,,,en,"care, attention",,,,,,,,
cuidadosa,"…pasteles,¡ pero sé muy cuidadosa!",Adjective,adjective,,,,,,,,,,,,,,,,,,,en,careful,,,,,,,,
cuidarla,"…días, me dediqué a cuidarla, a darle agua todas…",,,,,,,,,,,,,,,,,,,,,en,to take care of her,,,,,,,,
culpa,…hecho todos. Por mi culpa.,Verb,él/ella/ud.,presente,culpar,culparse,Noun,sustantivo,verbo,culpar,presente,él/ella/ud.,culparse,,,,,,,,,en,"guilt, fault",,,,,,,,
culto,…único dedicado exclusivamente al culto de adoración.,Noun,,,,,,,,,,,,,,,,,,,,en,"worship (el culto), educated, cultured (culto -ta)",,,,,,,,
culturas,"…mestizaje, sobre mezcla de culturas, las sensaciones que tuve…",Verb,presente,tú,culturar,Noun,tú,verbo,presente,culturar,,,,,,,,,,,,en,cultures,,,,,,,,
cumpleaños,…comprarle una para su cumpleaños.,Noun,,,,,,,,,,,,,,,,,,,,en,birthday,,,,,,,,
cumplen,…estos hábitos no se cumplen?,Verb,presente,ellos/ellas/uds.,cumplir,cumplirse,verb,presente,cumplir,ellos/ellas/uds.,cumplirse,,,,,,,,,,,en,fulfill,,,,,,,,
cumplimente,"…PERFECTA, IDEAL, que nos cumplimente en todos los sentidos?",Verb,él/ella/ud.,imperativo,cumplimentar,imperativo,verbo,él/ella/ud.,cumplimentar,,,,,,,,,,,,,en,complete,,,,,,,,
cumplirlas,llegado a cumplirlas?,,,,,,,,,,,,,,,,,,,,,en,meet them,,,,,,,,
curiosamente,"…batalla campal! Pero en CuriosaMente creemos que,",Adverb,Noun,noun,adverb,,,,,,,,,,,,,,,,,en,Curiously,,,,,,,,
curvados,…labios pálidos están ligeramente curvados hacia arriba y alguien…,,,,,,,,,,,,,,,,,,,,,en,curved,,,,,,,,
custodiarlas,…Torres] Debemos custodiarlas hasta que aparezca.,,,,,,,,,,,,,,,,,,,,,en,"to have custody of, guard, watch over (them (f.))",,,,,,,,
daba,"…al principio les... les daba un poco de miedo,¿…",Verb,yo,indicativo pretérito imperfecto,dar,darse,darse,verbo,dar,yo,indicativo pretérito imperfecto,,,,,,,,,,,en,gave,,,,,,,,
dado,"En un momento dado, comencé a pensar en…",Verb,yo,pretérito perfecto compuesto,dar,darse,Noun,verb,noun,darse,dar,yo,pretérito perfecto compuesto,,,,,,,,,en,given,,,,,,,,
dañada,…frontal derecho quedó gravemente dañada,Adjective,adjective,,,,,,,,,,,,,,,,,,,en,damaged,,,,,,,,
dañado,…todavía el motor estaba dañado y yo ya estaba…,Verb,yo,pretérito perfecto compuesto,dañar,dañarse,verb,dañar,yo,pretérito perfecto compuesto,dañarse,,,,,,,,,,,en,damaged,,,,,,,,
dañinos,"…los otros se consideran dañinos. Por su parte, la…",Adjective,adjective,,,,,,,,,,,,,,,,,,,en,harmful,,,,,,,,
daño,…que me haría más daño del que yo le…,Verb,yo,presente,dañar,dañarse,Noun,sustantivo,verbo,dañar,presente,yo,dañarse,,,,,,,,,en,damage,,,,,,,,
daos,…Pues daos prisa y empezad!,Verb,imperativo,darse,verb,darse,imperativo,,,,,,,,,,,,,,,en,hurry up,,,,,,,,
darle,…muchas precauciones antes de darle la noticia de la…,,,,,,,,,,,,,,,,,,,,,en,dar v. give,,,,,,,,
dársenas,Ni las dársenas ni los docks de…,,,,,,,,,,,,,,,,,,,,,en,docks,,,,,,,,
datos,"…Desirée Yépez, verificadora de datos y periodista en El…",Noun,,,,,,,,,,,,,,,,,,,,en,information; data,,,,,,,,
debe,"Entonces usted, señora, debe desprenderla y enchufarla en…",Verb,él/ella/ud.,presente,deber,deberse,Adjective,Noun,verbo,deber,presente,él/ella/ud.,deberse,,,,,,,,,en,He must,,,,,,,,
debemos,"…un camino que todos debemos aprender, si, como yo,…",Verb,presente,nosotros,deber,deberse,Adjective,verbo,nosotros,deber,presente,deberse,,,,,,,,,,en,We must,,,,,,,,
deben,deben entrar con el pie…,Verb,presente,ellos/ellas/uds.,deber,deberse,Adjective,verb,adjective,deber,presente,ellos/ellas/uds.,deberse,,,,,,,,,en,they must,,,,,,,,
deberán,…está observando y que deberán rendir cuentas por sus…,Verb,ellos/ellas/uds.,futuro,deber,deberse,verb,deber,futuro,ellos/ellas/uds.,deberse,,,,,,,,,,,en,they must,,,,,,,,
debían,creyó que los cargos debían ser mucho más serios.,Verb,indicativo pretérito imperfecto,ellos/ellas/uds.,deber,deberse,Adjective,adjetivo,verbo,deber,ellos/ellas/uds.,deberse,indicativo pretérito imperfecto,,,,,,,,,en,they should,,,,,,,,
debido,Debido a su interés en…,Verb,yo,pretérito perfecto compuesto,deber,deberse,Adjective,Adverb,adjetivo,adverbio,verbo,deber,yo,pretérito perfecto compuesto,deberse,,,,,,,en,"adj. due, owed; right",,,,,,,,
debieron,…Sus pasillos le debieron parecer enormes mientras la…,Verb,pretérito perfecto simple,ellos/ellas/uds.,deber,deberse,verbo,deber,pretérito perfecto simple,ellos/ellas/uds.,deberse,,,,,,,,,,,en,should,en,they must,en,They should have/must have  (preterite),,,,
débil,…con una voz muy débil.,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,en,"adj. weak, feeble",,,,,,,,
debilidad,Una gran debilidad.,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,weakness,,,,,,,,
debo,"Por tanto, yo debo ser feliz por mí…",Verb,yo,presente,deber,deberse,Adjective,Noun,verbo,deber,presente,yo,deberse,,,,,,,,,en,"[v:deber] should, shall; must; owe",,,,,,,,
decidido,…Felipe y yo hemos decidido ir a una cafetería…,Verb,yo,pretérito perfecto compuesto,decidir,decidirse,Adjective,Noun,verbo,yo,decidir,pretérito perfecto compuesto,decidirse,,,,,,,,,en,decided,,,,,,,,
decidirá,Eso lo decidirá el Consejo.,Verb,él/ella/ud.,futuro,decidir,decidirse,verb,futuro,decidir,decidirse,él/ella/ud.,,,,,,,,,,,en,will decide,,,,,,,,
decírtelo,"Sí, quería decírtelo.",,,,,,,,,,,,,,,,,,,,,en,tell you it,,,,,,,,
decreto,"…pronuncio la orden, el decreto que es sumamente prohibido…",Verb,yo,presente,decretar,decretarse,Noun,verb,noun,presente,yo,decretar,decretarse,,,,,,,,,en,decree,,,,,,,,
dedo,niño apuntó con el dedo,Noun,,,,,,,,,,,,,,,,,,,,en,"(m)n. digit, finger; spot, speck",,,,,,,,
